epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,728.926,1.20423,4.82564,0.38033,0.94732,1.167,0.82992,0.70435,0.81349,0.5271,0.74013,0.51743,0.54142,0.24011,1.21077,4.44714,0.37296,0.87766,1.11578,0.00999435,0.00333145,0.00999435,0.00333145,0.00999435,0.00333145,0.00999435,0.00333145
2,1361.29,1.31753,5.38429,0.40557,1.06528,1.21598,0.79479,0.68535,0.78537,0.49923,0.71143,0.47497,0.48857,0.19621,1.25702,4.75184,0.3922,0.96726,1.14592,0.0199284,0.00664279,0.0199284,0.00664279,0.0199284,0.00664279,0.0199284,0.00664279
3,1877.3,1.40667,5.82063,0.42912,1.17432,1.26107,0.76768,0.64142,0.73774,0.44426,0.61589,0.42711,0.4075,0.13685,1.36954,5.30712,0.41938,1.12646,1.22806,0.0297964,0.00993213,0.0297964,0.00993213,0.0297964,0.00993213,0.0297964,0.00993213
4,2368.33,1.42607,5.92323,0.43604,1.2071,1.27725,0.79272,0.6546,0.76243,0.47751,0.6946,0.4551,0.46623,0.1767,1.28092,4.97063,0.41266,1.02897,1.17859,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,2859.58,1.36855,5.67723,0.42357,1.14971,1.24974,0.80887,0.68558,0.79181,0.50636,0.71435,0.50094,0.50319,0.20515,1.24085,4.65441,0.39998,0.95285,1.14933,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,3351.45,1.33876,5.51533,0.41575,1.1098,1.23166,0.82549,0.70151,0.80937,0.52791,0.71822,0.52771,0.53542,0.22765,1.19207,4.47898,0.38693,0.9186,1.1217,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,3843.32,1.3159,5.41263,0.4094,1.08588,1.22006,0.81952,0.70214,0.81075,0.53267,0.74066,0.53086,0.54976,0.24388,1.18029,4.35841,0.38275,0.90148,1.11658,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,4335,1.3053,5.34983,0.40479,1.07297,1.21122,0.82077,0.71883,0.81985,0.54386,0.74008,0.54509,0.56741,0.25486,1.15216,4.266,0.37702,0.87495,1.10173,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,4825.41,1.29142,5.297,0.40233,1.06197,1.20698,0.83907,0.71986,0.82918,0.55503,0.7526,0.55242,0.57296,0.26127,1.13883,4.20805,0.37408,0.84858,1.09643,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,5315.59,1.28329,5.25357,0.39855,1.04848,1.20232,0.83029,0.72371,0.82939,0.55985,0.74685,0.56486,0.58743,0.2729,1.12558,4.13604,0.37027,0.84201,1.08919,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,5808.03,1.28036,5.23492,0.39777,1.04411,1.20065,0.84324,0.72749,0.83601,0.56425,0.75287,0.56722,0.58968,0.27738,1.12383,4.09237,0.36858,0.82182,1.08589,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,6298.56,1.27189,5.19096,0.39496,1.03127,1.19314,0.83889,0.73448,0.84012,0.56983,0.76186,0.5656,0.5922,0.28393,1.11015,4.03848,0.3657,0.81267,1.0787,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,6788.68,1.26799,5.1581,0.39353,1.02897,1.1907,0.84722,0.73221,0.84194,0.57207,0.77738,0.57588,0.60561,0.28901,1.10451,4.00196,0.36492,0.80775,1.07634,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,7277.53,1.2628,5.15107,0.39275,1.02645,1.18814,0.83704,0.73599,0.84116,0.57283,0.77185,0.58001,0.60735,0.29253,1.10088,3.97354,0.36396,0.8021,1.0742,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,7767.83,1.26153,5.13573,0.39179,1.0206,1.18797,0.8362,0.74182,0.84282,0.57434,0.77982,0.58324,0.61334,0.29519,1.09661,3.94345,0.36309,0.79721,1.07159,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,8258.71,1.26223,5.11383,0.39024,1.01987,1.18707,0.84634,0.73615,0.84402,0.57678,0.77574,0.58533,0.61373,0.29882,1.09237,3.92313,0.36242,0.79094,1.069,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,8749.93,1.25645,5.09035,0.38942,1.01628,1.18321,0.84308,0.73835,0.84464,0.57783,0.77705,0.58312,0.61798,0.30028,1.09151,3.90881,0.36176,0.78783,1.06842,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,9240.68,1.25265,5.09544,0.38863,1.01285,1.18158,0.84534,0.73829,0.84605,0.57976,0.77586,0.58517,0.61578,0.3007,1.08927,3.89743,0.36136,0.78572,1.06718,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,9730.5,1.24981,5.07661,0.38743,1.00914,1.18008,0.84135,0.74055,0.84659,0.58119,0.77528,0.58387,0.61477,0.3014,1.08773,3.88644,0.3611,0.78375,1.06609,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,10225.8,1.2478,5.07381,0.38744,1.00743,1.18128,0.84391,0.73712,0.84645,0.58153,0.77311,0.58577,0.61454,0.30184,1.08571,3.8784,0.36079,0.78195,1.06524,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,10724.5,1.24508,5.0566,0.38668,1.00577,1.17908,0.84621,0.73806,0.84737,0.58218,0.77116,0.59021,0.61723,0.30253,1.08438,3.87179,0.36049,0.78025,1.06466,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,11215.3,1.24428,5.04542,0.38614,1.00331,1.1798,0.84703,0.74008,0.84726,0.58201,0.76134,0.59619,0.61819,0.30256,1.08342,3.86641,0.36022,0.77879,1.0643,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,11707.1,1.24457,5.04684,0.38622,1.00351,1.17794,0.84718,0.74071,0.84645,0.5823,0.76211,0.59351,0.61714,0.30357,1.0827,3.86138,0.35998,0.77792,1.06395,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,12200.4,1.24352,5.0279,0.38548,0.99825,1.1765,0.84803,0.73898,0.84665,0.58256,0.76347,0.59505,0.61821,0.30479,1.08185,3.85557,0.35973,0.77688,1.06369,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,12691.5,1.24248,5.03374,0.38541,1.00246,1.17633,0.84479,0.73898,0.84684,0.58261,0.76734,0.59451,0.62023,0.30624,1.08104,3.8503,0.35932,0.77602,1.06309,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,13182.8,1.23845,5.01502,0.38521,0.99514,1.17418,0.84315,0.74024,0.84714,0.58303,0.76658,0.59614,0.62261,0.307,1.07968,3.84966,0.3591,0.77528,1.06222,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,13673.2,1.24228,5.02483,0.38486,0.99913,1.17506,0.84404,0.74087,0.84787,0.58403,0.76351,0.59556,0.62046,0.30699,1.07996,3.84541,0.35887,0.77416,1.06239,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,14163.6,1.23873,5.01464,0.38488,0.99392,1.17333,0.84556,0.74055,0.84836,0.58482,0.76749,0.59477,0.62095,0.30755,1.07939,3.84202,0.35852,0.77294,1.06204,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,14656.1,1.23777,5.00536,0.38408,0.99406,1.17221,0.84674,0.74118,0.84886,0.58502,0.76815,0.59357,0.62082,0.30751,1.07962,3.83863,0.35817,0.77213,1.06203,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,15147.5,1.2365,5.01093,0.3848,0.99189,1.17142,0.84472,0.74181,0.8493,0.58482,0.77196,0.58989,0.62094,0.30819,1.0788,3.83625,0.358,0.77174,1.06172,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,15638.1,1.24047,5.01352,0.38385,0.99178,1.17371,0.84308,0.7426,0.84932,0.58502,0.76918,0.59387,0.62255,0.30889,1.07839,3.83204,0.35769,0.77059,1.0616,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,16130.4,1.23637,4.99562,0.38403,0.99163,1.17157,0.8489,0.73709,0.84945,0.58522,0.77001,0.5921,0.62108,0.30912,1.07802,3.82713,0.35765,0.76999,1.06141,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,16622.4,1.23512,4.99876,0.38351,0.98903,1.17086,0.84792,0.73992,0.84948,0.58572,0.77157,0.59068,0.61969,0.30944,1.07644,3.82521,0.35751,0.76948,1.06023,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,17114.3,1.23245,4.97668,0.38279,0.99154,1.17036,0.84822,0.73993,0.84988,0.58577,0.77183,0.59113,0.62159,0.31007,1.07628,3.82524,0.35747,0.76947,1.0598,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,17606.3,1.23588,4.99211,0.38345,0.99078,1.17057,0.85003,0.74008,0.84974,0.58553,0.77084,0.59147,0.62121,0.31008,1.07602,3.82166,0.35733,0.76814,1.05942,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,18099.4,1.23385,4.98217,0.3828,0.99328,1.17015,0.84925,0.74055,0.85007,0.58636,0.77099,0.59256,0.62083,0.31074,1.07569,3.82149,0.35721,0.76733,1.05909,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,18590.2,1.23719,4.98622,0.38331,0.99102,1.16992,0.85131,0.74,0.85129,0.58671,0.76894,0.59308,0.62207,0.31124,1.07537,3.81924,0.35715,0.76663,1.05867,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,19081.8,1.2336,4.97614,0.38159,0.98899,1.169,0.85132,0.74009,0.85112,0.58686,0.76834,0.59576,0.62293,0.31215,1.07495,3.81753,0.35708,0.76583,1.05839,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,19575,1.22986,4.96505,0.38132,0.98564,1.16765,0.84229,0.74663,0.85146,0.58685,0.76845,0.59682,0.62369,0.31244,1.07453,3.81267,0.35688,0.7651,1.05806,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,20066.3,1.23097,4.95907,0.38166,0.98752,1.16698,0.84137,0.74735,0.85161,0.58719,0.76478,0.59871,0.62407,0.3129,1.07386,3.80811,0.3566,0.76439,1.05767,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,20560.1,1.23201,4.97277,0.38173,0.98847,1.16799,0.84331,0.7478,0.8515,0.58733,0.76537,0.59724,0.62248,0.31284,1.0732,3.80828,0.35643,0.76388,1.05744,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,21052.4,1.22665,4.96831,0.38184,0.98531,1.16699,0.84429,0.7478,0.8514,0.5876,0.76312,0.59897,0.62429,0.31346,1.07336,3.80593,0.35622,0.76352,1.05768,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,21545.2,1.22618,4.94949,0.38191,0.98344,1.16588,0.84804,0.745,0.85079,0.58772,0.76672,0.60091,0.62631,0.3143,1.07365,3.80347,0.35602,0.7628,1.05811,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,22038.4,1.22913,4.94101,0.38113,0.98422,1.16619,0.84673,0.7462,0.85075,0.58766,0.75981,0.60469,0.62719,0.3151,1.07321,3.80127,0.356,0.76265,1.05761,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,22528.9,1.22928,4.94373,0.3813,0.986,1.16816,0.8467,0.74811,0.85203,0.58789,0.76093,0.60581,0.62823,0.31571,1.07274,3.80033,0.35584,0.76275,1.05728,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,23021.3,1.22837,4.95546,0.38148,0.98594,1.16697,0.8546,0.74244,0.85149,0.58773,0.76131,0.60408,0.62768,0.31598,1.07244,3.79945,0.35585,0.76259,1.0569,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,23513.5,1.22565,4.9413,0.38116,0.98203,1.16366,0.85546,0.7415,0.85193,0.58838,0.7646,0.60327,0.62844,0.31628,1.07202,3.79638,0.3557,0.76207,1.05647,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,24005.8,1.2278,4.93786,0.38093,0.98069,1.16516,0.85509,0.74055,0.85136,0.58922,0.76093,0.60582,0.62838,0.3167,1.07177,3.79296,0.35546,0.76177,1.05595,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,24498.1,1.22671,4.92256,0.37974,0.98355,1.16455,0.85097,0.74433,0.85117,0.58917,0.76445,0.60485,0.62991,0.31722,1.07073,3.79135,0.35542,0.76154,1.0549,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,24988.5,1.22663,4.93905,0.38034,0.97969,1.16511,0.85062,0.74496,0.85142,0.58922,0.77311,0.6008,0.62921,0.3171,1.07018,3.78943,0.35534,0.76055,1.05469,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,25481,1.225,4.93587,0.38043,0.98186,1.16409,0.84862,0.74669,0.85198,0.59025,0.76991,0.60318,0.63017,0.31802,1.06969,3.78599,0.35509,0.75999,1.05434,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,25972.9,1.22547,4.92696,0.3805,0.97833,1.16282,0.84736,0.74937,0.85267,0.59018,0.77013,0.60603,0.63166,0.31872,1.06919,3.78273,0.35496,0.75904,1.05393,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,26466.2,1.2246,4.92939,0.3805,0.97962,1.16353,0.84911,0.75,0.85375,0.59006,0.77308,0.60375,0.63112,0.3185,1.06836,3.78028,0.35482,0.75876,1.05334,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,26958.2,1.2236,4.91803,0.37996,0.98056,1.16301,0.84442,0.75378,0.85375,0.59009,0.76413,0.60863,0.63186,0.31888,1.06804,3.77798,0.35466,0.75859,1.05306,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,27451.4,1.22355,4.90978,0.37966,0.98021,1.16326,0.84299,0.75268,0.85434,0.59083,0.76348,0.60881,0.63141,0.31934,1.06683,3.77359,0.35464,0.75748,1.05226,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,27943.8,1.22294,4.93026,0.38013,0.98003,1.16359,0.84386,0.75283,0.85416,0.59091,0.76985,0.60245,0.63171,0.31888,1.06605,3.77025,0.35443,0.75707,1.05168,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,28435.9,1.2227,4.9024,0.37928,0.97556,1.16227,0.84185,0.75582,0.85477,0.59106,0.77531,0.60079,0.63036,0.31898,1.06582,3.77162,0.35421,0.75629,1.05135,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,28926.5,1.22001,4.90705,0.37967,0.97487,1.16372,0.84128,0.75425,0.85454,0.59123,0.77296,0.6019,0.63012,0.31925,1.06576,3.77017,0.35402,0.75559,1.05146,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,29418.6,1.22303,4.91137,0.37958,0.97506,1.16162,0.84009,0.7574,0.85438,0.5908,0.77477,0.60359,0.62989,0.31923,1.0654,3.76942,0.3538,0.75535,1.05121,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,29910.2,1.22232,4.90671,0.37951,0.97835,1.16127,0.83875,0.75582,0.85395,0.59064,0.77423,0.6039,0.63055,0.31981,1.06466,3.76838,0.35381,0.75516,1.05058,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,30401.9,1.22195,4.90071,0.37972,0.97783,1.16134,0.83811,0.75614,0.85438,0.59074,0.77165,0.60453,0.62992,0.32013,1.06315,3.76704,0.35373,0.75444,1.04987,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,30893.8,1.21965,4.89509,0.37919,0.97619,1.16185,0.83752,0.75677,0.85417,0.59081,0.77404,0.60705,0.63227,0.31989,1.0623,3.76383,0.35358,0.75451,1.0495,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,31385.4,1.21846,4.89229,0.3788,0.9746,1.16041,0.84034,0.7552,0.85472,0.59116,0.77297,0.60891,0.63296,0.32003,1.06157,3.7611,0.35344,0.75424,1.0491,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,31876.7,1.22094,4.90246,0.37893,0.97292,1.16178,0.84118,0.75462,0.85489,0.59131,0.77176,0.60831,0.63156,0.32008,1.0615,3.75844,0.35335,0.75379,1.04874,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,32367,1.21752,4.89977,0.37877,0.97228,1.15929,0.83971,0.75488,0.85504,0.59148,0.77238,0.60831,0.63226,0.32043,1.06193,3.75539,0.35329,0.75326,1.04884,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,32859.8,1.21745,4.89194,0.37873,0.97189,1.15902,0.83813,0.75566,0.85512,0.59209,0.77592,0.60509,0.63306,0.3208,1.06157,3.75335,0.35315,0.75248,1.04832,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,33352.3,1.21712,4.88641,0.3779,0.97211,1.15926,0.84047,0.75614,0.8554,0.59254,0.77629,0.6039,0.63185,0.32151,1.06115,3.75016,0.35295,0.75195,1.04818,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,33845.5,1.21789,4.87838,0.37801,0.97205,1.15932,0.84205,0.75535,0.85541,0.59264,0.77768,0.60246,0.63245,0.32208,1.06144,3.74833,0.35278,0.75087,1.04812,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,34338.6,1.21985,4.88778,0.37806,0.974,1.16026,0.84501,0.75359,0.85575,0.59298,0.77937,0.6028,0.63432,0.32239,1.06057,3.74453,0.35262,0.74982,1.0477,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,34832.1,1.21674,4.87666,0.37831,0.97115,1.15841,0.84268,0.75598,0.85555,0.5931,0.78078,0.60276,0.63556,0.32326,1.0601,3.74253,0.35267,0.74986,1.04728,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,35324.1,1.22007,4.88505,0.37771,0.97085,1.15855,0.84739,0.75283,0.85609,0.59312,0.77663,0.60319,0.63468,0.3231,1.05993,3.74171,0.3526,0.74991,1.04725,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,35816.4,1.21559,4.871,0.37685,0.97174,1.15828,0.84356,0.75723,0.85628,0.59346,0.77925,0.60233,0.63422,0.32312,1.05944,3.74237,0.35257,0.74984,1.04662,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,36320.2,1.21567,4.86468,0.37724,0.9707,1.15757,0.84645,0.75675,0.85722,0.59445,0.77976,0.60476,0.63652,0.32379,1.05873,3.74148,0.35238,0.74986,1.04627,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
